taxon,significance_filter,q_Treatment1,q_Diet1,q_Timepoint1,q_Timepoint2,q_Timepoint3,q_TreatDiet1,q_TreatTime1,q_TreatTime2,q_TreatTime3,q_DietTime1,q_DietTime2,q_DietTime3,q_TreatDietTime1,q_TreatDietTime2,q_TreatDietTime3,lfc_Treatment1,lfc_Diet1,lfc_Timepoint1,lfc_Timepoint2,lfc_Timepoint3,lfc_TreatDiet1,lfc_TreatTime1,lfc_TreatTime2,lfc_TreatTime3,lfc_DietTime1,lfc_DietTime2,lfc_DietTime3,lfc_TreatDietTime1,lfc_TreatDietTime2,lfc_TreatDietTime3,se_Treatment1,se_Diet1,se_Timepoint1,se_Timepoint2,se_Timepoint3,se_TreatDiet1,se_TreatTime1,se_TreatTime2,se_TreatTime3,se_DietTime1,se_DietTime2,se_DietTime3,se_TreatDietTime1,se_TreatDietTime2,se_TreatDietTime3
[Eubacterium]_nodatum_group,q_DietTime2,0.996151289,0.996640842,0.627094765,0.704480318,0.198360175,1,0.956111093,1,0.670674085,0.005080256,0.002177407,0.005934185,0.854294808,1,1,0.104294928,-0.654758663,0.554875351,0.529665125,0.897757891,0.827871,-0.189708468,-0.043899347,-0.830573403,2.262989119,2.340085321,2.029390671,-0.879338902,-1.000970677,-0.094694621,0.515235687,0.51134461,0.469965919,0.469644986,0.468079956,0.717577544,0.587635853,0.650972774,0.577326643,0.657937104,0.634340403,0.628953736,0.854344351,0.788669487,0.786716826
Erysipelatoclostridium,q_DietTime2,0.982826174,1,0.987856776,0.859695011,0.829933113,1,0.956111093,1,0.708884484,0.008552796,0.002728301,0.004983621,0.854294808,1,1,0.147374321,0.019593716,-0.054682675,-0.210670348,-0.230936592,0.093931126,-0.147410672,-0.327410003,-0.494380788,1.753373069,1.903353702,1.747497037,-0.799790433,-0.279188882,0.08927549,0.469357216,0.454269132,0.39823436,0.397909038,0.396322527,0.653738229,0.494233641,0.562726066,0.486705819,0.550814408,0.535213983,0.529742261,0.718896882,0.653374042,0.651363789
Anaeroplasma,q_DietTime2,0.982826174,0.996640842,0.038461424,0.045366898,8.07E-04,1,0.892060655,1,0.992918993,0.005080256,0.004152468,0.000599172,0.854294808,1,1,-0.367306079,0.395295732,1.520962607,1.32667432,2.049687661,0.798731269,0.494977541,0.798096747,0.17488011,-2.579116598,-2.609107148,-2.882841714,-1.136187317,-0.958267968,-0.875996243,0.624339837,0.594342482,0.488795793,0.488476448,0.486919194,0.859863464,0.654072296,0.721042154,0.649248661,0.735706323,0.76747461,0.699931982,1.04567781,0.992395211,0.944891036
Clostridia_vadinBB60_group,q_DietTime2,0.982826174,1,0.715369557,1,0.635689815,1,0.956111093,1,1,0.014487958,0.004152468,0.023219902,0.968794476,1,1,-0.294069777,0.055085726,-0.384091252,-0.010130354,0.396685351,0.32333057,0.145791554,0.245037705,0.012641208,-2.250417423,-3.171021122,-2.441180288,-0.814165751,0.598098154,0.45908957,0.528871579,0.510715051,0.400313907,0.399988642,0.398402404,0.73676003,0.497342773,0.565828752,0.489886541,0.757723697,0.925288813,0.920215924,0.959431034,1.095775045,1.035679456
Romboutsia,q_DietTime2,0.982826174,0.996640842,0.712207042,1,0.763758345,1,1,1,0.992918993,0.180170165,0.0046503,0.002495311,1,0.699357435,1,0.324349205,-0.808570529,0.73319438,-0.11222611,-0.662458288,1.182480312,0.058566084,0.980773348,-0.371321438,1.816396671,3.686036223,3.875219877,-0.084124533,-2.898207036,-1.142211281,0.966168145,0.890328457,0.735459745,0.818570313,0.817138776,1.32223362,1.068318328,1.196054347,1.134032414,1.055569301,1.113851645,1.085294086,1.506428431,1.531145267,1.522424568
Muribaculaceae,q_DietTime2,1,1,0.727934995,0.586787775,0.39418189,1,1,1,1,0.007950497,0.0046503,0.010543876,1,1,1,0.034111124,0.057518296,0.282802825,0.440418808,0.436922276,-0.089489474,-0.057059369,0.048053406,-0.031520972,-1.465965113,-1.449040791,-1.286596183,0.433833871,0.021365331,0.161696595,0.372324612,0.362253341,0.330031142,0.329711142,0.328150734,0.518565103,0.394802279,0.461456932,0.384227575,0.453055209,0.437680498,0.432291835,0.569697563,0.487461973,0.485409103
Lactobacillus,q_DietTime2,0.982826174,0.996640842,0.947679075,0.899579303,0.490800435,1,0.892060655,1,0.670674085,0.056517837,0.012547628,0.005463004,1,1,0.830020967,0.396832936,0.318395375,0.120929934,0.184427251,0.507702565,-0.468422067,-0.263731851,-0.08519535,-0.737671084,-1.414268871,-1.722646439,-1.879837147,0.024017428,0.255402993,0.884098847,0.523719087,0.505826832,0.432445151,0.432121433,0.43054277,0.7295707,0.545606702,0.613806741,0.539142344,0.599757183,0.584252035,0.578814923,0.793507432,0.733784967,0.731809252
A2,q_DietTime2,0.982826174,0.996640842,0.038461424,0.001489844,1.07E-04,1,0.892060655,1,0.819990568,0.064724424,0.012547628,0.081889017,1,1,0.830020967,0.263075787,-0.463953246,1.4681162,2.017512297,2.471065592,0.059421005,-0.486646341,-0.857855378,-0.425937912,1.564725775,1.986669044,1.401808063,0.665941913,0.942376968,1.126747987,0.650773722,0.625149647,0.496580371,0.496261703,0.49470776,0.907285021,0.641024335,0.703928902,0.63169569,0.68466511,0.675250011,0.664060351,0.927663393,0.876889805,0.87065915
Blautia,q_DietTime2,0.982826174,0.996640842,0.973961231,1,0.947981239,1,0.892060655,1,0.670674085,0.121696168,0.013685524,9.95E-04,1,1,1,-0.275863971,0.296859668,-0.080080566,0.082429742,-0.088955044,-0.139104763,0.426165065,-0.0197985,0.729175293,1.172810845,1.685972923,2.224724792,0.186507407,0.628905575,-0.31119063,0.465673519,0.450776393,0.431908681,0.431584928,0.4300061,0.64860124,0.54479827,0.613005276,0.53831894,0.598990203,0.583483154,0.578045353,0.792340171,0.732536047,0.730559798
Tuzzerella,q_DietTime2,0.982826174,1,0.943988349,0.85526965,0.784460456,1,0.956111093,1,0.739407202,0.009474171,0.033092969,0.012115477,1,1,0.830020967,0.26763588,-0.24107817,-0.230901245,0.338315204,0.397604822,-0.371240174,0.1672892,-0.541094429,-0.526012999,2.471038851,1.946586228,2.176886794,-0.053868971,1.430340472,1.114545347,0.657895854,0.702179753,0.543985734,0.543671284,0.535742104,0.944094027,0.644735275,0.708912347,0.634873444,0.769601143,0.74680457,0.740084906,0.966790544,0.910415822,0.909535331
Lactococcus,q_DietTime1,0.982826174,0.996640842,0.947679075,0.840098819,0.829933113,1,0.774566962,1,0.834968192,1.41E-11,1.25E-11,2.42E-13,1,1,1,0.28814894,0.220822225,0.096445607,0.272377818,0.194791767,-0.299063765,-0.575388957,-0.3218426,-0.267239737,4.275571459,4.158880337,4.477544852,0.189936429,0.230345874,0.303031035,0.437002819,0.423594509,0.377976763,0.377651321,0.376064217,0.608629236,0.464090621,0.532528079,0.45580963,0.521801589,0.506183899,0.500705881,0.67457178,0.604934941,0.602905014
Colidextribacter,q_DietTime1,0.982826174,0.663489401,0.715369557,1,0.870316151,1,0.592529022,1,0.467752284,8.75E-04,3.90E-04,8.44E-05,0.854294808,1,0.681193615,-0.609509892,-0.834900462,-0.375314022,0.060771508,0.150385676,0.652921127,0.902015435,0.56615583,1.14292325,2.383618727,2.371454864,2.547013114,-0.779937011,-0.420387789,-1.205431992,0.442086542,0.437249376,0.400612085,0.400286828,0.398700632,0.619051723,0.490440962,0.558938635,0.482824374,0.554218213,0.538622216,0.533152106,0.716096588,0.650330349,0.648318811
Acetatifactor,q_DietTime1,0.982826174,0.663489401,0.627094765,0.840098819,0.778069222,1,0.343409076,1,0.602449112,0.00105668,9.26E-04,9.95E-04,0.625677525,1,0.830020967,-0.794472048,-1.359048032,-0.593243452,0.356485292,0.386548458,1.712353841,1.549182401,0.456349951,1.105908574,3.402819107,3.108784093,3.00394855,-1.919630504,-1.065018914,-1.401176061,0.661603464,0.769851003,0.507090435,0.50205435,0.500502895,1.003835313,0.624375383,0.676169953,0.603204694,0.800067969,0.775205227,0.766568054,0.983316294,0.917387297,0.912683727
Lachnospiraceae_UCG-006,q_DietTime1,0.982826174,0.996640842,0.535238221,1,0.384243991,1,0.774566962,1,0.68089572,0.0015698,8.14E-04,2.98E-04,1,1,0.866706181,-0.43781324,-0.644106591,-0.568691202,0.028623662,0.614434581,0.538093517,0.744099701,0.313889081,0.5786664,2.595268389,2.646363225,2.770292229,-0.185092014,0.125642648,-0.787596456,0.480918695,0.566274815,0.41966156,0.419337095,0.424367565,0.739956105,0.516530164,0.58301519,0.50404098,0.651152116,0.63579086,0.634563709,0.803780546,0.743340333,0.738864343
Intestinimonas,q_DietTime1,0.982826174,0.663489401,1,0.799527756,0.829933113,1,0.343409076,1,0.053309832,0.002007891,9.26E-04,2.48E-04,0.747305746,1,0.322046266,-0.97994246,-0.829960798,-0.008513361,0.389494068,0.251554041,1.2253323,1.120045553,0.846883356,1.60860815,2.310961275,2.280719233,2.557257892,-1.188082033,-0.854482346,-1.681683721,0.465108996,0.506934513,0.417313749,0.410346032,0.406531548,0.675155689,0.489755365,0.553435587,0.475542847,0.596957574,0.576897365,0.569937923,0.732966223,0.664850205,0.661586392
Anaerotruncus,q_DietTime1,0.982826174,1,0.727934995,0.963677014,1,1,0.892060655,1,0.670674085,0.005080256,9.26E-04,5.18E-04,0.968794476,1,0.830020967,-0.593775373,-0.026103461,-0.366281423,-0.130813465,0.020367624,1.12160191,0.377648052,0.138824051,0.748760008,2.298647759,2.46830728,2.629079188,-0.741860721,-0.29802442,-1.108651923,0.535473757,0.530382854,0.470073917,0.455889622,0.468188005,0.764675948,0.600909604,0.665925682,0.58122276,0.650898007,0.625651509,0.630150614,0.872544616,0.815762342,0.805104082
[Eubacterium]_nodatum_group,q_DietTime1,0.996151289,0.996640842,0.627094765,0.704480318,0.198360175,1,0.956111093,1,0.670674085,0.005080256,0.002177407,0.005934185,0.854294808,1,1,0.104294928,-0.654758663,0.554875351,0.529665125,0.897757891,0.827871,-0.189708468,-0.043899347,-0.830573403,2.262989119,2.340085321,2.029390671,-0.879338902,-1.000970677,-0.094694621,0.515235687,0.51134461,0.469965919,0.469644986,0.468079956,0.717577544,0.587635853,0.650972774,0.577326643,0.657937104,0.634340403,0.628953736,0.854344351,0.788669487,0.786716826
Anaeroplasma,q_DietTime1,0.982826174,0.996640842,0.038461424,0.045366898,8.07E-04,1,0.892060655,1,0.992918993,0.005080256,0.004152468,0.000599172,0.854294808,1,1,-0.367306079,0.395295732,1.520962607,1.32667432,2.049687661,0.798731269,0.494977541,0.798096747,0.17488011,-2.579116598,-2.609107148,-2.882841714,-1.136187317,-0.958267968,-0.875996243,0.624339837,0.594342482,0.488795793,0.488476448,0.486919194,0.859863464,0.654072296,0.721042154,0.649248661,0.735706323,0.76747461,0.699931982,1.04567781,0.992395211,0.944891036
Enterorhabdus,q_DietTime1,1,0.996640842,0.943988349,0.636622832,0.829933113,1,1,1,0.834968192,0.005080256,1,0.01016034,0.854294808,1,1,0.014799171,0.301058097,0.171067919,0.522036585,0.257258909,-0.2222399,-0.002437658,-0.347659689,0.262137009,-2.270802101,0,-2.446428814,1.009559157,0,-0.450171288,0.471741764,0.524633994,0.419567277,0.414353226,0.41276969,0.689703876,0.494344213,0.559297385,0.483191967,0.656134231,0.513860867,0.802559789,0.816198102,0.505092426,1.030585862
Muribaculaceae,q_DietTime1,1,1,0.727934995,0.586787775,0.39418189,1,1,1,1,0.007950497,0.0046503,0.010543876,1,1,1,0.034111124,0.057518296,0.282802825,0.440418808,0.436922276,-0.089489474,-0.057059369,0.048053406,-0.031520972,-1.465965113,-1.449040791,-1.286596183,0.433833871,0.021365331,0.161696595,0.372324612,0.362253341,0.330031142,0.329711142,0.328150734,0.518565103,0.394802279,0.461456932,0.384227575,0.453055209,0.437680498,0.432291835,0.569697563,0.487461973,0.485409103
Erysipelatoclostridium,q_DietTime1,0.982826174,1,0.987856776,0.859695011,0.829933113,1,0.956111093,1,0.708884484,0.008552796,0.002728301,0.004983621,0.854294808,1,1,0.147374321,0.019593716,-0.054682675,-0.210670348,-0.230936592,0.093931126,-0.147410672,-0.327410003,-0.494380788,1.753373069,1.903353702,1.747497037,-0.799790433,-0.279188882,0.08927549,0.469357216,0.454269132,0.39823436,0.397909038,0.396322527,0.653738229,0.494233641,0.562726066,0.486705819,0.550814408,0.535213983,0.529742261,0.718896882,0.653374042,0.651363789
Tuzzerella,q_DietTime1,0.982826174,1,0.943988349,0.85526965,0.784460456,1,0.956111093,1,0.739407202,0.009474171,0.033092969,0.012115477,1,1,0.830020967,0.26763588,-0.24107817,-0.230901245,0.338315204,0.397604822,-0.371240174,0.1672892,-0.541094429,-0.526012999,2.471038851,1.946586228,2.176886794,-0.053868971,1.430340472,1.114545347,0.657895854,0.702179753,0.543985734,0.543671284,0.535742104,0.944094027,0.644735275,0.708912347,0.634873444,0.769601143,0.74680457,0.740084906,0.966790544,0.910415822,0.909535331
Clostridia_UCG-014,q_DietTime1,0.982826174,0.996640842,0.038461424,0.009780867,0.001209846,1,0.343409076,1,0.467752284,0.009584505,0.160846339,0.010766366,1,1,1,0.56443022,0.554455721,1.917325146,1.990197851,2.264750169,1.161692857,-1.815557779,-1.166472388,-1.461586705,-3.179162981,-1.840471492,-2.847160873,-0.251383423,0.421812441,0.153954854,0.918925901,1.095142405,0.614547568,0.546451908,0.530176221,1.570352741,0.784956256,0.766240369,0.697630441,0.986862358,0.974873255,0.92875494,1.343027112,1.458546314,1.436620121
Clostridia_vadinBB60_group,q_DietTime1,0.982826174,1,0.715369557,1,0.635689815,1,0.956111093,1,1,0.014487958,0.004152468,0.023219902,0.968794476,1,1,-0.294069777,0.055085726,-0.384091252,-0.010130354,0.396685351,0.32333057,0.145791554,0.245037705,0.012641208,-2.250417423,-3.171021122,-2.441180288,-0.814165751,0.598098154,0.45908957,0.528871579,0.510715051,0.400313907,0.399988642,0.398402404,0.73676003,0.497342773,0.565828752,0.489886541,0.757723697,0.925288813,0.920215924,0.959431034,1.095775045,1.035679456
Robinsoniella,q_DietTime1,0.982826174,0.996640842,0.003975599,0.041503232,0.068114596,1,0.592529022,1,0.670674085,0.016073605,0.722545719,1,0.854294808,1,1,-0.877192612,0.814660922,-2.790749752,-2.144213131,-2.310234751,-0.174943008,1.668743381,1.187749422,1.711976712,2.531195427,0.559233212,0.17979593,-1.436302864,-0.784201048,-0.199637888,0.801329963,0.702283716,0.676143912,0.738819096,0.860867916,1.10929447,0.89689459,1.13068951,1.150593329,0.849247257,0.89698102,1.004681672,1.207910215,1.341193826,1.404535851
Lachnospiraceae_UCG-004,q_DietTime1,0.982826174,1,0.727934995,0.859695011,0.870316151,1,0.892060655,1,0.708884484,0.034979617,0.296669219,0.069453211,1,1,1,-0.314964333,-0.224007422,-0.334249471,0.229977197,0.158217699,0.147505474,0.344244536,0.182673388,0.637345797,1.682543705,0.908163478,1.366700329,-0.680939344,0.11491153,-0.34365985,0.664677743,0.564809686,0.447051326,0.436145141,0.434567761,0.954552448,0.67231256,0.733293661,0.655421167,0.646672782,0.624140891,0.618743271,0.992907543,0.939817164,0.933243157
GCA-900066575,q_DietTime1,0.982826174,0.663489401,0.947679075,0.891372725,0.753414336,1,0.892060655,1,0.708884484,0.040634791,9.26E-04,8.51E-04,1,1,0.830020967,-0.450781106,-1.604107777,-0.138392544,-0.251862625,0.450862785,1.705799949,0.365563,0.793958695,0.638045801,1.912988132,3.044507028,2.902999595,-0.513437771,-0.748116709,-1.044154954,0.716866974,0.726199884,0.533470835,0.547451487,0.531617536,0.986969659,0.67625937,0.747729033,0.65395329,0.757986621,0.739435701,0.723865521,0.966294209,0.909342813,0.889950463
